Time,Value
"Nov, 1944",$556.34
"Oct, 1944",$556.34
"Sep, 1944",$556.34
"Aug, 1944",$556.34
"Jul, 1944",$556.34
"Jun, 1944",$559.50
"May, 1944",$562.71
"Apr, 1944",$562.71
"Mar, 1944",$565.91
"Feb, 1944",$565.91
"Jan, 1944",$565.91
"Nov, 1943",$565.91
"Oct, 1943",$565.91
"Sep, 1943",$565.91
"Aug, 1943",$569.21
"Jul, 1943",$565.91
"Jun, 1943",$562.71
"May, 1943",$562.71
"Apr, 1943",$565.91
"Mar, 1943",$572.51
"Feb, 1943",$582.66
"Jan, 1943",$582.66
"Dec, 1942",$582.66
"Nov, 1942",$586.14
"Sep, 1942",$596.80
"Aug, 1942",$596.80
"Jul, 1942",$600.44
"Jun, 1942",$604.12
"May, 1942",$604.12
"Apr, 1942",$611.62
"Mar, 1942",$615.43
"Feb, 1942",$623.23
"Jan, 1942",$627.21
"Dec, 1941",$635.29
"Nov, 1941",$639.41
"Oct, 1941",$643.60
"Sep, 1941",$652.11
"Aug, 1941",$660.87
"Jun, 1941",$669.86
"May, 1941",$683.82
"Apr, 1941",$688.59
"Mar, 1941",$693.46
"Feb, 1941",$698.37
"Jan, 1941",$698.37
"Dec, 1940",$698.37
"Nov, 1940",$703.37
"Oct, 1940",$703.37
"Sep, 1940",$703.37
"Aug, 1940",$703.37
"Jul, 1940",$703.37
"Jun, 1940",$698.37
"Apr, 1940",$703.37
"Mar, 1940",$703.37
"Feb, 1940",$703.37
"Jan, 1940",$708.41
"Dec, 1939",$716.38
"Nov, 1939",$716.38
"Oct, 1939",$716.38
"Sep, 1939",$711.28
"Aug, 1939",$726.76
"Jul, 1939",$726.76
"Jun, 1939",$726.76
"May, 1939",$726.76
"Apr, 1939",$726.76
"Mar, 1939",$721.52
"Jan, 1939",$716.38
"Dec, 1938",$722.79
"Nov, 1938",$722.79
"Oct, 1938",$722.79
"Sep, 1938",$717.64
"Aug, 1938",$717.64
"Jul, 1938",$717.64
"Jun, 1938",$717.64
"May, 1938",$717.64
"Apr, 1938",$712.60
"Mar, 1938",$717.64
"Feb, 1938",$717.64
"Jan, 1938",$712.60
"Nov, 1937",$697.87
"Oct, 1937",$693.07
"Sep, 1937",$693.07
"Aug, 1937",$697.87
"Jul, 1937",$697.87
"Jun, 1937",$702.70
"May, 1937",$702.70
"Apr, 1937",$707.60
"Mar, 1937",$712.60
"Feb, 1937",$717.64
"Jan, 1937",$717.64
"Dec, 1936",$722.79
"Nov, 1936",$722.79
"Oct, 1936",$722.79
"Aug, 1936",$722.79
"Jul, 1936",$727.97
"Jun, 1936",$733.25
"May, 1936",$738.61
"Apr, 1936",$738.61
"Mar, 1936",$738.61
"Feb, 1936",$733.25
"Jan, 1936",$733.25
"Dec, 1935",$733.25
"Nov, 1935",$733.25
"Oct, 1935",$738.61
"Sep, 1935",$738.61
"Aug, 1935",$738.61
"Jul, 1935",$738.61
"May, 1935",$733.25
"Apr, 1935",$733.25
"Mar, 1935",$738.61
"Feb, 1935",$738.61
"Jan, 1935",$744.03
"Dec, 1934",$755.13
"Nov, 1934",$749.53
"Oct, 1934",$749.53
"Sep, 1934",$744.03
"Aug, 1934",$755.13
"Jul, 1934",$755.13
"Jun, 1934",$755.13
"May, 1934",$760.83
"Mar, 1934",$760.83
"Feb, 1934",$760.83
"Jan, 1934",$766.57
"Dec, 1933",$579.75
"Nov, 1933",$579.75
"Oct, 1933",$579.75
"Sep, 1933",$579.75
"Aug, 1933",$579.75
"Jul, 1933",$584.17
"Jun, 1933",$602.56
"May, 1933",$607.35
"Apr, 1933",$607.35
"Mar, 1933",$607.35
"Jan, 1933",$593.25
"Dec, 1932",$458.59
"Nov, 1932",$455.12
"Oct, 1932",$451.72
"Sep, 1932",$448.33
"Aug, 1932",$445.00
"Jul, 1932",$441.74
"Jun, 1932",$441.74
"May, 1932",$438.52
"Apr, 1932",$432.20
"Mar, 1932",$429.13
"Feb, 1932",$426.07
"Jan, 1932",$420.11
"Dec, 1931",$447.33
"Oct, 1931",$438.31
"Sep, 1931",$435.40
"Aug, 1931",$432.51
"Jul, 1931",$432.51
"Jun, 1931",$432.51
"May, 1931",$426.86
"Apr, 1931",$421.35
"Mar, 1931",$418.66
"Feb, 1931",$415.99
"Jan, 1931",$410.75
"Dec, 1930",$371.53
"Nov, 1930",$364.74
"Oct, 1930",$362.53
"Aug, 1930",$362.53
"Jul, 1930",$360.34
"Jun, 1930",$356.05
"May, 1930",$353.94
"Apr, 1930",$351.85
"Mar, 1930",$353.94
"Feb, 1930",$351.85
"Jan, 1930",$349.81
"Dec, 1929",$348.28
"Nov, 1929",$346.27
"Oct, 1929",$346.27
"Sep, 1929",$346.27
"Aug, 1929",$346.27
"Jul, 1929",$346.27
"May, 1929",$352.36
"Apr, 1929",$354.46
"Mar, 1929",$352.36
"Feb, 1929",$350.31
"Jan, 1929",$350.31
"Dec, 1928",$351.33
"Nov, 1928",$349.29
"Oct, 1928",$349.29
"Sep, 1928",$347.28
"Aug, 1928",$351.33
"Jul, 1928",$351.33
"Jun, 1928",$351.33
"May, 1928",$349.29
"Mar, 1928",$351.33
"Feb, 1928",$351.33
"Jan, 1928",$347.28
"Dec, 1927",$346.77
"Nov, 1927",$346.77
"Oct, 1927",$344.76
"Sep, 1927",$346.77
"Aug, 1927",$348.79
"Jul, 1927",$346.77
"Jun, 1927",$340.86
"May, 1927",$344.76
"Apr, 1927",$346.77
"Mar, 1927",$346.77
"Jan, 1927",$342.81
"Dec, 1926",$338.44
"Nov, 1926",$338.44
"Oct, 1926",$340.37
"Sep, 1926",$342.32
"Aug, 1926",$344.26
"Jul, 1926",$342.32
"Jun, 1926",$338.44
"May, 1926",$336.53
"Apr, 1926",$334.65
"Mar, 1926",$336.53
"Feb, 1926",$334.65
"Jan, 1926",$334.65
"Dec, 1925",$335.13
"Oct, 1925",$338.93
"Sep, 1925",$338.93
"Aug, 1925",$338.93
"Jul, 1925",$338.93
"Jun, 1925",$342.81
"May, 1925",$346.77
"Apr, 1925",$348.79
"Mar, 1925",$346.77
"Feb, 1925",$348.79
"Jan, 1925",$346.77
"Dec, 1924",$347.28
"Nov, 1924",$349.29
"Oct, 1924",$349.29
"Aug, 1924",$353.38
"Jul, 1924",$351.33
"Jun, 1924",$353.38
"May, 1924",$353.38
"Apr, 1924",$353.38
"Mar, 1924",$351.33
"Feb, 1924",$349.29
"Jan, 1924",$347.28
"Dec, 1923",$346.77
"Nov, 1923",$346.77
"Oct, 1923",$346.77
"Sep, 1923",$348.79
"Aug, 1923",$350.82
"Jul, 1923",$348.79
"Jun, 1923",$352.87
"Apr, 1923",$354.97
"Mar, 1923",$357.09
"Feb, 1923",$357.09
"Jan, 1923",$357.09
"Dec, 1922",$356.51
"Nov, 1922",$358.64
"Oct, 1922",$360.78
"Sep, 1922",$362.95
"Aug, 1922",$362.95
"Jul, 1922",$358.64
"Jun, 1922",$360.78
"May, 1922",$360.78
"Apr, 1922",$360.78
"Feb, 1922",$356.51
"Jan, 1922",$356.51
"Dec, 1921",$345.77
"Nov, 1921",$343.76
"Oct, 1921",$341.82
"Sep, 1921",$341.82
"Aug, 1921",$337.95
"Jul, 1921",$337.95
"Jun, 1921",$339.87
"May, 1921",$337.95
"Apr, 1921",$330.48
"Mar, 1921",$326.86
"Feb, 1921",$325.08
"Dec, 1920",$307.45
"Nov, 1920",$301.22
"Oct, 1920",$299.71
"Sep, 1920",$298.21
"Aug, 1920",$293.81
"Jul, 1920",$286.74
"Jun, 1920",$285.37
"May, 1920",$289.52
"Apr, 1920",$293.81
"Mar, 1920",$302.77
"Feb, 1920",$305.86
"Jan, 1920",$309.04
"Dec, 1919",$306.40
"Nov, 1919",$313.03
"Sep, 1919",$325.33
