Time,Value
"Aug, 2003",$563.40
"Sep, 2003",$591.54
"Oct, 2003",$592.25
"Nov, 2003",$610.99
"Dec, 2003",$637.19
"Jan, 2004",$645.93
"Feb, 2004",$628.89
"Mar, 2004",$627.49
"May, 2004",$586.80
"Jun, 2004",$598.14
"Jul, 2004",$607.49
"Aug, 2004",$611.18
"Sep, 2004",$616.84
"Oct, 2004",$636.58
"Nov, 2004",$665.22
"Dec, 2004",$671.52
"Jan, 2005",$642.83
"Feb, 2005",$637.99
"Mar, 2005",$649.74
"Apr, 2005",$637.84
"May, 2005",$627.32
"Jun, 2005",$639.96
"Aug, 2005",$644.63
"Sep, 2005",$663.10
"Oct, 2005",$681.82
"Nov, 2005",$697.37
"Dec, 2005",$749.34
"Jan, 2006",$801.70
"Feb, 2006",$807.53
"Mar, 2006",$806.11
"Apr, 2006",$876.28
"May, 2006",$964.46
"Jun, 2006",$849.51
"Jul, 2006",$900.50
"Aug, 2006",$896.64
"Oct, 2006",$839.42
"Nov, 2006",$900.94
"Dec, 2006",$901.96
"Jan, 2007",$901.31
"Feb, 2007",$944.61
"Mar, 2007",$922.10
"Apr, 2007",$950.44
"May, 2007",$927.02
"Apr, 1958",$353.24
"Jul, 2007",$923.44
"Aug, 2007",$925.59
"Sep, 2007",$988.45
"Oct, 2007","$1,044.37"
"Nov, 2007","$1,109.40"
"Jan, 2008","$1,218.75"
"Feb, 2008","$1,259.86"
"Mar, 2008","$1,311.25"
"Apr, 2008","$1,224.46"
"May, 2008","$1,188.83"
"Jun, 2008","$1,228.53"
"Jul, 2008","$1,208.88"
"Aug, 2008","$1,102.20"
"Sep, 2008","$1,173.71"
"Oct, 2008",$975.55
"Nov, 2008","$1,108.53"
"Dec, 2008","$1,195.91"
"Jan, 2009","$1,258.80"
"Feb, 2009","$1,296.62"
"Apr, 2009","$1,197.69"
"May, 2009","$1,318.88"
"Jun, 2009","$1,252.23"
"Jul, 2009","$1,261.08"
"Aug, 2009","$1,279.41"
"Sep, 2009","$1,360.09"
"Oct, 2009","$1,390.48"
"Nov, 2009","$1,570.80"
"Dec, 2009","$1,456.16"
"Jan, 2010","$1,438.72"
"Feb, 2010","$1,478.41"
"Mar, 2010","$1,481.38"
"Apr, 2010","$1,563.69"
"Jun, 2010","$1,636.95"
"Jul, 2010","$1,550.09"
"Aug, 2010","$1,635.14"
"Sep, 2010","$1,713.26"
"Oct, 2010","$1,780.40"
"Nov, 2010","$1,827.60"
"Dec, 2010","$1,853.85"
"Jan, 2011","$1,742.35"
"Feb, 2011","$1,842.77"
"Mar, 2011","$1,862.07"
"Apr, 2011","$1,973.12"
"May, 2011","$1,960.71"
"Jun, 2011","$1,926.94"
"Aug, 2011","$2,328.70"
"Sep, 2011","$2,063.88"
"Oct, 2011","$2,198.99"
"Nov, 2011","$2,231.39"
"Dec, 2011","$1,961.21"
"Jan, 2012","$2,223.60"
"Feb, 2012","$2,247.90"
"Mar, 2012","$2,094.75"
"Apr, 2012","$2,075.62"
"May, 2012","$1,959.96"
"Jun, 2012","$2,014.11"
"Jul, 2012","$2,046.96"
"Aug, 2012","$2,068.87"
"Sep, 2012","$2,218.22"
"Nov, 2012","$2,167.86"
"Dec, 2012","$2,086.79"
"Jan, 2013","$2,089.26"
"Feb, 2013","$1,977.68"
"Mar, 2013","$1,985.03"
"Apr, 2013","$1,825.97"
"May, 2013","$1,730.57"
"Jun, 2013","$1,475.70"
"Jul, 2013","$1,627.35"
"Aug, 2013","$1,723.91"
"Sep, 2013","$1,638.23"
"Oct, 2013","$1,639.11"
"Nov, 2013","$1,553.72"
"Dec, 2013","$1,494.78"
"Feb, 2014","$1,632.92"
"Mar, 2014","$1,581.10"
"Apr, 2014","$1,570.68"
"May, 2014","$1,519.36"
"Jun, 2014","$1,595.10"
"Jul, 2014","$1,559.01"
"Aug, 2014","$1,562.19"
"Sep, 2014","$1,478.05"
"Oct, 2014","$1,418.06"
"Nov, 2014","$1,447.69"
"Dec, 2014","$1,484.59"
"Jan, 2015","$1,558.93"
"Feb, 2015","$1,495.65"
"Apr, 2015","$1,442.27"
"May, 2015","$1,448.74"
"Jun, 2015","$1,418.08"
"Jul, 2015","$1,330.16"
"Aug, 2015","$1,376.76"
"Sep, 2015","$1,353.51"
"Oct, 2015","$1,389.10"
"Nov, 2015","$1,293.39"
"Dec, 2015","$1,306.62"
"Jan, 2016","$1,359.93"
"Feb, 2016","$1,367.72"
"Mar, 2016","$1,505.36"
"Apr, 2016","$1,486.87"
"Jun, 2016","$1,584.72"
"Jul, 2016","$1,630.36"
"Aug, 2016","$1,573.68"
"Sep, 2016","$1,576.57"
"Oct, 2016","$1,522.63"
"Nov, 2016","$1,406.33"
"Dec, 2016","$1,378.58"
"Jan, 2017","$1,442.78"
"Feb, 2017","$1,488.38"
"Mar, 2017","$1,483.92"
"Apr, 2017","$1,499.13"
"May, 2017","$1,506.25"
"Jun, 2017","$1,465.91"
"Jul, 2017","$1,503.89"
"Sep, 2017","$1,504.50"
"Oct, 2017","$1,489.03"
"Nov, 2017","$1,502.68"
"Dec, 2017","$1,520.79"
"Jan, 2018","$1,566.35"
"Feb, 2018","$1,532.87"
"Mar, 2018","$1,534.40"
"Apr, 2018","$1,518.95"
"May, 2018","$1,497.72"
"Jun, 2018","$1,434.38"
"Jul, 2018","$1,398.42"
"Aug, 2018","$1,384.26"
"Sep, 2018","$1,355.11"
"Nov, 2018","$1,399.86"
"Dec, 2018","$1,475.18"
"Jan, 2019","$1,519.55"
"Feb, 2019","$1,516.31"
"Mar, 2019","$1,468.04"
"Apr, 2019","$1,453.50"
"May, 2019","$1,463.18"
"Jun, 2019","$1,595.50"
"Jul, 2019","$1,612.23"
"Aug, 2019","$1,720.42"
"Sep, 2019","$1,675.04"
"Oct, 2019","$1,691.69"
"Nov, 2019","$1,636.94"
"Dec, 2019","$1,713.38"
"Feb, 2020","$1,818.26"
"Mar, 2020","$1,797.21"
"Apr, 2020","$1,936.49"
"May, 2020","$1,946.53"
"Jun, 2020","$1,984.95"
"Jul, 2020","$2,200.39"
"Aug, 2020","$2,191.20"
"Sep, 2020","$2,104.12"
"Oct, 2020","$2,086.69"
"Nov, 2020","$1,977.42"
"Dec, 2020","$2,103.56"
"Jan, 2021","$2,043.92"
"Feb, 2021","$1,899.95"
"Apr, 2021","$1,914.42"
"May, 2021","$2,045.69"
"Jun, 2021","$1,884.98"
"Jul, 2021","$1,921.15"
"Aug, 2021","$1,919.30"
"Sep, 2021","$1,851.52"
"Oct, 2021","$1,864.18"
"Nov, 2021","$1,846.96"
"Dec, 2021","$1,896.26"
"Jan, 2022","$1,846.41"
"Feb, 2022","$1,936.81"
"Mar, 2022","$1,964.76"
"Apr, 2022","$1,911.70"
"May, 2022","$1,854.90"
"Jan, 1915",$551.03
"Dec, 1966",$310.30
"Jan, 1915",$551.03
"Dec, 1966",$310.30
"Jan, 1915",$551.03
"Dec, 1966",$310.30
"Jan, 1915",$551.03
"Dec, 1966",$310.30
"Jan, 1915",$551.03
"Sep, 1945",$559.06
"Oct, 1945",$559.06
"Jan, 1915",$551.03
"Sep, 1945",$559.06
"Jan, 1988","$1,189.25"
